soft,var,smo,method,loss,jac,f1,prec,rec,std,std_jac,std_f1,std_prec,std_rec
False,-,0.0,-,0.04710433333333334,0.5782113333333334,0.6675666666666666,0.6927603333333333,0.6598386666666666,0.0005810828971268481,0.009885854355255993,0.011164750706277947,0.015281124871334992,0.010687863787180908
False,-,0.1,-,0.10024300000000001,0.5793073333333334,0.6666806666666667,0.6840296666666666,0.6611350000000001,9.165696918401512e-05,0.0009333329166665924,0.000618016450697941,0.0048273618399010875,0.0022632372831853
False,-,0.2,-,0.138505,0.5773043333333333,0.663837,0.6803796666666666,0.6586086666666667,6.95053954740206e-05,0.0020938945372996646,0.0019555060726062817,0.003373452879963432,0.004951969843742319
True,False,-,Half,0.05398666666666666,0.5626556666666667,0.6517473333333333,0.6819476666666667,0.6449736666666667,0.0027430851852126878,0.007067559786328902,0.0059812676192704875,0.004463903486113163,0.00434920019467178
True,True,-,Half,0.05437633333333333,0.5644963333333334,0.654772,0.6803513333333333,0.6511616666666667,0.0011998672148756011,0.010089205733522023,0.010189591503097662,0.019346991247564366,0.006482602049588808
True,False,-,Kernel Half,0.05087266666666667,0.5736256666666666,0.6625486666666666,0.6802269999999999,0.6567436666666667,0.0007674746467039348,0.0021229061056328596,0.0014575518286954075,0.0029271363138740464,0.0049569109668556235
True,True,-,Kernel Half,0.05081233333333333,0.576038,0.6652129999999999,0.6914660000000001,0.6575346666666667,0.00027507150585499434,0.00411181273892675,0.00516620160272518,0.012966751829197648,0.004961539713973249
True,False,-,Max,0.054517666666666666,0.5722666666666667,0.6622453333333332,0.6811916666666665,0.6578513333333333,0.0006917415220538202,0.0030982301937288667,0.0035871850152080996,0.001087259092090469,0.007054102376159077
True,True,-,Max,0.053503,0.5650816666666666,0.6550336666666667,0.6805593333333334,0.649083,0.0005073588473654515,0.004449793740538235,0.0037715255975975096,0.007591568502841366,0.0028081939035615065
True,False,-,No Protection,0.05307233333333333,0.5636523333333333,0.652486,0.6730396666666666,0.646029,0.000621566032962979,0.008990899639820983,0.009837904400836591,0.016192098978617092,0.008561204821752592
True,True,-,No Protection,0.052952,0.570096,0.6592889999999999,0.681544,0.6551116666666666,0.0006390876309239615,0.005192808777530714,0.005994994912424827,0.0140755947298862,0.004732579670046084
